50
1	12:00:00	45-NK-JX
1	12:00:03	DX-89-EH
1	12:00:09	JV-20-EL
2	12:00:10	RW-MJ-73
1	12:00:11	ZS-24-74
2	12:00:14	07-SD-12
2	12:00:18	GX-62-38
1	12:00:19	09-PQ-23
2	12:00:20	45-NK-JX
1	12:00:20	NG-24-DB
2	12:00:21	DX-89-EH
2	12:00:22	JV-20-EL
2	12:00:30	ZS-24-74
1	12:00:33	QW-23-56
2	12:00:35	09-PQ-23
2	12:00:40	NG-24-DB
1	12:00:42	MN-25-TR
2	12:00:43	QW-23-56
1	12:00:46	02-RV-WE
1	12:00:48	ME-72-XD
1	12:00:52	YH-34-OS
2	12:00:57	MN-25-TR
2	12:00:59	02-RV-WE
1	12:01:01	UI-55-ZZ
2	12:01:08	ME-72-XD
1	12:01:12	TR-MD-68
1	12:01:15	CF-QW-46
2	12:01:16	YH-34-OS
2	12:01:20	UI-55-ZZ
2	12:01:27	CF-QW-46
1	12:01:28	03-LC-TF
2	12:01:30	TR-MD-68
2	12:01:39	03-LC-TF
1	12:01:39	GF-PY-26
1	12:01:44	57-AS-74
1	12:01:46	54-NK-JX
1	12:01:51	YG-SL-94
1	12:01:56	WM-20-PF
2	12:01:56	GF-PY-26
2	12:01:57	57-AS-74
2	12:02:01	YG-SL-94
2	12:02:03	54-NK-JX
1	12:02:04	NS-20-FW
1	12:02:08	PR-22-WD
2	12:02:13	WM-20-PF
1	12:02:14	MJ-HF-73
2	12:02:21	NS-20-FW
2	12:02:25	PR-22-WD
2	12:02:30	MJ-HF-73
1	12:02:34	ST-RC-01
1	12:02:35	ST-RC-02
1	12:02:37	ST-RC-03
1	12:02:40	PO-LI-CE
2	12:02:41	ST-RC-01
2	12:02:41	ST-RC-02
1	12:02:42	TG-ZS-93
2	12:02:44	ST-RC-03
1	12:02:45	78-SD-PX
2	12:02:48	PO-LI-CE
1	12:02:51	98-54-FJ
1	12:02:57	HP-81-SS
2	12:02:59	TG-ZS-93
1	12:03:05	EL-89-10
2	12:03:12	98-54-FJ
1	12:03:14	MD-GJ-36
2	12:03:15	HP-81-SS
1	12:03:17	KG-00-DF
1	12:03:18	PW-CF-45
1	12:03:20	MF-TF-24
2	12:03:24	EL-89-10
2	12:03:31	MD-GJ-36
2	12:03:32	KG-00-DF
